0,1,2,3,4,5,iml
0.0172832338488,0.00172499783926,0.00015974531684,8.41732435897e-06,1.17569258773e-07,1.58464352751e-11,3.0
0.0270236697262,0.00275861891459,0.000259255300164,1.38496202899e-05,1.96587208623e-07,2.725430992e-11,3.5
0.0424703445862,0.00448686296037,0.00043127152643,2.35277533636e-05,3.42295801259e-07,4.95462559869e-11,4.0
0.0671527659017,0.00747265960164,0.000743231774019,4.18621618122e-05,6.32309406834e-07,9.77345981923e-11,4.5
0.106779499876,0.012841979605,0.00134467435035,7.94744504971e-05,1.27034086295e-06,2.16818674126e-10,5.0
0.170064551586,0.0229261385885,0.00259102040898,0.000164521283789,2.86139589523e-06,5.66265034863e-10,5.5
0.26832479154,0.0425871593014,0.0053779190316,0.000379194837316,7.46293487641e-06,1.83479942351e-09,6.0
0.410470151219,0.0814977113861,0.0120333243224,0.000984599882991,2.31131167177e-05,7.74772057621e-09,6.5
0.589699334624,0.15616051365,0.0284573629733,0.00285238172672,8.52778862384e-05,4.3799779248e-08,7.0
0.770224725673,0.285452210269,0.0678179236298,0.00882974686077,0.000361620157502,3.24543084851e-07,7.5
0.902972819775,0.470473875292,0.151756276233,0.0270190169688,0.00162220993898,2.88480080823e-06,8.0
0.969963042295,0.672736092689,0.297290505879,0.0745658268473,0.00688005515372,2.66320144157e-05,8.5
0.993042722925,0.83539656366,0.49077956452,0.173314955802,0.0249998491655,0.000220748088593,9.0
0.998746566152,0.932874988029,0.686363853359,0.331848843346,0.0741245072344,0.00150353911549,9.5
0.999819916221,0.977833361078,0.839312558791,0.529546165039,0.177989482131,0.00814962664797,10.0
