night,day,gml
3.06929798136e-06,1.84157878881e-06,3.0
5.46982325288e-06,3.28189395173e-06,3.5
1.04105491096e-05,6.24632946573e-06,4.0
2.16378624269e-05,1.29827174561e-05,4.5
5.01970961614e-05,3.01182576968e-05,5.0
0.000131739838504,7.90439031025e-05,5.5
0.000388518594645,0.000233111156787,6.0
0.00123929822747,0.00074357893648,6.5
0.00398561934834,0.002391371609,7.0
0.0119005158106,0.00714030948637,7.5
0.0310387941481,0.0186232764888,8.0
0.06927684152,0.041566104912,8.5
0.132937868873,0.0797627213238,9.0
0.219947005086,0.131968203052,9.5
0.313568118309,0.188140870985,10.0
