0,1,2,3,4,5,gml
0.0424699779963,0.0044868206577,0.000431267234875,2.35275077554e-05,3.4229203183e-07,4.95457008753e-11,3.0
0.0671521783349,0.00747258525524,0.000743223791495,4.18616812284e-05,6.32301598191e-07,9.77332659247e-11,3.5
0.106778556536,0.0128418432758,0.00134465848306,7.94734244652e-05,1.27032280373e-06,2.1681501039e-10,4.0
0.170063056875,0.0229258777134,0.00259098640953,0.000164518855048,2.86134812244e-06,5.66253599565e-10,4.5
0.268322525833,0.042586644578,0.00537784057669,0.000379188407021,7.46278742325e-06,1.83475412641e-09,5.0
0.410467039738,0.0814966969443,0.012033132912,0.00098458096278,2.31125817514e-05,7.74748765142e-09,5.5
0.589695763682,0.156158629163,0.0284568906904,0.00285232182002,8.52756457148e-05,4.37982202728e-08,6.0
0.770221621418,0.285449176158,0.0678168304729,0.00882955601404,0.000361609935234,3.24530068485e-07,6.5
0.902970947936,0.470470018636,0.151754120445,0.0270184627179,0.00162216402295,2.88467876597e-06,7.0
0.969962287826,0.672732476524,0.297287181946,0.074564501485,0.00687987499998,2.66309082546e-05,7.5
0.993042512563,0.835394090306,0.490775706447,0.173312501752,0.024999283811,0.000220739607323,8.0
0.998746522634,0.932873711901,0.686360441236,0.33184534881,0.0741231277834,0.00150348756542,8.5
0.999819909234,0.977832851116,0.839310223497,0.529542315635,0.17798687845,0.0081493841213,9.0
0.999978617173,0.994011792989,0.932163466614,0.719971790912,0.346534749925,0.0342397075542,9.5
0.999997691422,0.998603043527,0.975763014977,0.859288342009,0.549752201487,0.107245846129,10.0
