iml,day,night
3.0,4.48453371778e-06,7.47422286297e-06
3.5,8.89369973087e-06,1.48228328848e-05
4.0,1.94814702026e-05,3.24691170043e-05
4.5,4.80347682206e-05,8.00579470343e-05
5.0,0.000133984131363,0.000223306885606
5.5,0.000413820461354,0.000689700768923
6.0,0.00133910204836,0.00223183674726
6.5,0.00419028251264,0.00698380418773
7.0,0.0117539332983,0.0195898888305
7.5,0.0283673211461,0.0472788685769
8.0,0.0586525310115,0.0977542183525
8.5,0.104533263166,0.174222105277
9.0,0.160468013019,0.267446688366
9.5,0.213250680301,0.355417800502
10.0,0.251848786338,0.419747977229
